time,state_number,algorithm
3.9812549,10,VI
4.0098681,10,VI
4.0194134,10,VI
4.0583649,10,VI
4.0649469,10,VI
0.1290341,10,PAI
4.1261212,10,VI
4.1316415,10,VI
4.1424052,10,VI
0.1551733,10,PAI
0.1600014,10,PAI
0.1329255,10,PAI
0.1592932,10,PAI
4.2844246,10,VI
0.1610911,10,PAI
4.2927705,10,VI
0.155821,10,PAI
0.1666243,10,PAI
4.3999814,10,VI
4.4059791,10,VI
4.4147598,10,VI
4.4228431,10,VI
0.1964596,10,PAI
0.2134206,10,PAI
4.5436521,10,VI
0.1584436,10,PAI
4.5866842,10,VI
0.1983654,10,PAI
0.1971389,10,PAI
0.1918827,10,PAI
4.638154,10,VI
4.6462765,10,VI
0.1699678,10,PAI
0.1618397,10,PAI
4.7516003,10,VI
0.1179323,10,PAI
0.1292197,10,PAI
0.1816387,10,PAI
5.1978308,10,VI
0.130358,10,PAI
3.8859881,10,HK
4.0053697,10,HK
4.0919348,10,HK
4.2344204,10,HK
4.2562798,10,HK
0.4439866,10,FT
4.1478221,10,HK
4.1652907,10,HK
0.4340848,10,FT
4.1607619,10,HK
4.2540463,10,HK
0.4440456,10,FT
4.4706632,10,HK
4.3239183,10,HK
4.2457117,10,HK
4.2476868,10,HK
4.2877759,10,HK
0.5311708,10,FT
0.5234327,10,FT
0.5516174,10,FT
0.6682074,10,FT
4.4320704,10,HK
0.4501765,10,FT
0.4415653,10,FT
0.4909543,10,FT
0.4154867,10,FT
4.5026461,10,HK
4.3681551,10,HK
0.5506825,10,FT
4.6750165,10,HK
0.5756812,10,FT
0.609934,10,FT
4.8744192,10,HK
0.5338218,10,FT
0.4044289,10,FT
0.4093243,10,FT
0.4914957,10,FT
4.5892427,10,HK
0.5365042,10,FT
0.4451538,10,FT
8.2622368,10,M1
8.8098589,10,M1
8.7069345,10,M1
0.2762191,10,K1
0.2881699,10,K1
8.5625411,10,M1
9.0767623,10,M1
0.2928166,10,K1
0.2711522,10,KM
0.3082256,10,KM
0.3169307,10,K1
9.0090501,10,M1
8.8853697,10,M1
0.310991,10,KM
8.9053584,10,M1
0.3525604,10,KM
0.3690312,10,K1
0.3687519,10,K1
0.3603323,10,K1
9.1699063,10,M1
0.3714082,10,K1
9.3007165,10,M1
9.3107723,10,M1
0.3530991,10,KM
0.3834897,10,KM
0.332159,10,KM
0.3532031,10,K1
0.335051,10,K1
0.3711816,10,KM
9.3904702,10,M1
9.5377604,10,M1
9.3183708,10,M1
0.433376,10,K1
0.2980737,10,KM
1.3223734,10,WIN
0.3367409,10,KM
9.4852374,10,M1
9.7230148,10,M1
0.3158778,10,K1
9.6270107,10,M1
0.4875745,10,K1
0.3545277,10,KM
0.3105098,10,K1
1.6577737,10,WIN
0.3327786,10,K1
0.3420523,10,KM
0.3677967,10,K1
1.6511861,10,WIN
0.3973367,10,KM
0.2902875,10,KM
0.3873554,10,K1
1.611397,10,WIN
0.3580506,10,KM
1.2160324,10,WIN
0.4097578,10,KM
0.3902177,10,KM
1.5706214,10,WIN
1.5693898,10,WIN
10.4136115,10,M1
1.3415722,10,WIN
1.6326352,10,WIN
10.4521776,10,M1
0.3301429,10,K1
1.571316,10,WIN
0.3227557,10,K1
0.3919808,10,KM
1.327902,10,WIN
0.3031784,10,KM
1.6710929,10,WIN
21.3936555,50,VI
21.4370631,50,VI
11.3543179,10,M1
1.8416203,10,WIN
1.9859876,10,WIN
21.8073896,50,VI
21.936964,50,VI
21.9501515,50,VI
2.6369078,10,WIN
0.4571939,10,K1
22.1823802,50,VI
22.3747262,50,VI
0.9820116,50,PAI
1.0170213,50,PAI
22.4465875,50,VI
2.3231885,10,WIN
22.5025331,50,VI
0.483102,10,KM
22.6521965,50,VI
22.9396098,50,VI
3.0236751,10,WIN
1.8985831,10,WIN
1.2279389,50,PAI
1.2342813,50,PAI
1.5213056,50,PAI
23.4532159,50,VI
2.4475307,10,WIN
23.6641617,50,VI
23.7303346,50,VI
1.3739727,50,PAI
23.7531905,50,VI
1.4454258,50,PAI
23.9244706,50,VI
23.9458302,50,VI
1.7696229,50,PAI
1.509128,50,PAI
1.5459046,50,PAI
1.5490017,50,PAI
24.513439,50,VI
24.6216948,50,VI
25.0206179,50,VI
1.7336661,50,PAI
2.033651,50,PAI
1.785643,50,PAI
2.8930316,10,WIN
1.6957542,50,PAI
1.7038368,50,PAI
6.8050005,10,PPI
2.0097405,50,PAI
1.9305699,50,PAI
3.2733772,50,PAI
7.9792051,10,PPI
2.4714953,50,PAI
8.4484998,10,PPI
8.9941458,10,PPI
9.2950634,10,PPI
10.207437,10,PPI
10.6953475,10,PPI
10.7473737,10,PPI
11.4516976,10,PPI
11.7174614,10,PPI
12.4361542,10,PPI
12.6832996,10,PPI
12.6653906,10,PPI
13.2212541,10,PPI
13.3956185,10,PPI
14.3042955,10,PPI
14.4995507,10,PPI
14.9013613,10,PPI
15.0635881,10,PPI
15.1618866,10,PPI
70.6510836,100,VI
48.8612406,50,HK
48.3414554,50,HK
72.1130033,100,VI
49.7809587,50,HK
72.1846297,100,VI
49.0607015,50,HK
72.46964,100,VI
72.5300903,100,VI
49.3996172,50,HK
48.9256732,50,HK
72.6868262,100,VI
72.7824033,100,VI
72.8835331,100,VI
73.0976665,100,VI
73.1664206,100,VI
2.7218518,100,PAI
49.700915,50,HK
73.6728404,100,VI
73.7073312,100,VI
73.8903191,100,VI
49.9525522,50,HK
74.1026361,100,VI
74.1670562,100,VI
50.2457454,50,HK
48.9243894,50,HK
50.4271334,50,HK
2.5028361,100,PAI
2.4494527,100,PAI
74.7667795,100,VI
2.3839643,100,PAI
74.9977548,100,VI
49.401268,50,HK
50.5588317,50,HK
2.5834926,100,PAI
2.4310521,100,PAI
75.1588314,100,VI
2.3994171,100,PAI
2.5232455,100,PAI
49.9385508,50,HK
2.296181,100,PAI
49.9903822,50,HK
4.3494002,50,FT
2.6033724,100,PAI
4.0773166,50,FT
2.3947552,100,PAI
49.5530262,50,HK
2.392316,100,PAI
76.1380719,100,VI
76.2186911,100,VI
2.3898648,100,PAI
4.0874628,50,FT
4.2287202,50,FT
2.3906863,100,PAI
3.9572011,50,FT
51.057676,50,HK
4.0493432,50,FT
2.7666525,100,PAI
50.1098301,50,HK
2.4005818,100,PAI
49.7042201,50,HK
2.3647861,100,PAI
50.9702266,50,HK
2.622789,100,PAI
4.2031902,50,FT
4.071901,50,FT
3.9536986,50,FT
4.3536014,50,FT
2.4165156,100,PAI
4.0219986,50,FT
2.4538578,100,PAI
4.1679286,50,FT
4.373138,50,FT
4.0663549,50,FT
4.0792751,50,FT
5.1992757,50,FT
4.2860151,50,FT
4.2064431,50,FT
4.2105525,50,FT
4.3678803,50,FT
50.9356678,100,HK
49.9799343,100,HK
50.4546116,100,HK
50.8756205,100,HK
50.2853263,100,HK
50.3161243,100,HK
50.7731091,100,HK
51.1513829,100,HK
50.3530011,100,HK
49.8874151,100,HK
50.3487519,50,M1
50.5618844,50,M1
49.9555202,50,M1
50.2536133,100,HK
50.1965711,100,HK
49.1530363,100,HK
50.1488475,50,M1
51.0211365,100,HK
50.5715493,50,M1
48.6157803,50,M1
50.2344719,50,M1
49.7788621,100,HK
0.8836502,50,K1
49.2790115,50,M1
50.5721477,100,HK
0.8943469,50,K1
50.2588448,100,HK
48.5650118,50,M1
48.5543903,100,HK
0.8924713,50,K1
49.2108294,50,M1
3.2082185,100,FT
0.8792041,50,K1
49.2768943,50,M1
0.8529814,50,K1
0.913188,50,K1
0.8752066,50,K1
0.8140694,50,K1
0.6587164,50,KM
0.7919703,50,KM
48.3359906,50,M1
47.7553096,50,M1
1.0245675,50,KM
49.4414222,100,HK
0.8031716,50,K1
50.2354826,100,HK
3.007435,100,FT
48.948454,50,M1
48.7703078,50,M1
0.6938843,50,KM
0.7844555,50,K1
2.9102344,100,FT
0.7582979,50,KM
47.9686256,50,M1
3.0621326,100,FT
0.7841088,50,KM
0.6997942,50,KM
0.772028,50,KM
3.0165367,100,FT
2.9163767,100,FT
2.984157,100,FT
2.1150865,100,FT
2.8944322,100,FT
0.7752752,50,K1
0.7873791,50,K1
1.229008,50,K1
2.2694446,100,FT
0.7583891,50,KM
3.0240488,100,FT
47.535871,50,M1
2.9517388,100,FT
47.5144414,50,M1
48.0252912,50,M1
0.8656607,50,K1
0.9063962,50,K1
0.7425515,50,KM
2.9348922,100,FT
0.7958807,50,K1
0.7763799,50,KM
47.6781315,50,M1
2.8930459,100,FT
0.8911798,50,KM
0.9999519,50,KM
0.747501,50,KM
0.8579548,50,K1
0.9334748,50,K1
0.7514198,50,KM
2.9033475,100,FT
0.8796687,50,K1
2.9179485,100,FT
2.9021449,100,FT
2.9743863,100,FT
0.7014757,50,K1
0.9866278,50,KM
0.7363721,50,KM
0.8801294,50,KM
0.9924309,50,KM
0.8791902,50,KM
3.0948033,100,FT
3.2073546,100,FT
3.449399,50,WIN
3.6763902,50,WIN
3.6028476,50,WIN
3.7966642,50,WIN
3.8528714,50,WIN
3.7355936,50,WIN
3.9288624,50,WIN
4.8107944,50,WIN
4.4312939,50,WIN
5.4085124,50,WIN
5.2205261,50,WIN
5.457977,50,WIN
5.6112951,50,WIN
5.7668343,50,WIN
7.5818652,50,WIN
8.8791315,50,WIN
8.2349904,50,WIN
9.3905494,50,WIN
10.0523416,50,WIN
10.2112589,50,WIN
39.4328978,50,PPI
40.618726,50,PPI
40.5807903,50,PPI
40.3864099,50,PPI
40.73793,50,PPI
40.7428364,50,PPI
41.3826931,50,PPI
41.5413601,50,PPI
41.2383752,50,PPI
42.1772485,50,PPI
41.1917706,50,PPI
41.4113344,50,PPI
41.1412999,50,PPI
41.6138782,50,PPI
39.52796,50,PPI
40.630434,50,PPI
39.5423616,50,PPI
40.1905204,50,PPI
39.0970663,50,PPI
39.5128074,50,PPI
81.7445738,100,M1
81.2548567,100,M1
80.7919241,100,M1
81.1406278,100,M1
81.148626,100,M1
81.2682249,100,M1
81.0207261,100,M1
81.3838795,100,M1
81.533652,100,M1
1.0181042,100,K1
0.9994243,100,K1
82.0464423,100,M1
82.0206748,100,M1
1.3695506,100,K1
1.0279278,100,K1
0.9608897,100,K1
81.9216104,100,M1
1.3699711,100,K1
1.3253919,100,K1
81.6666144,100,M1
81.1663,100,M1
1.3362189,100,K1
82.1682721,100,M1
1.0944145,100,KM
1.1054157,100,KM
1.3290182,100,K1
1.092202,100,KM
1.0996836,100,KM
81.9892208,100,M1
1.3929325,100,K1
1.0821697,100,KM
82.0189836,100,M1
1.387609,100,K1
81.0252391,100,M1
1.0878254,100,KM
0.9551014,100,K1
1.0848674,100,KM
82.2435125,100,M1
1.6120412,100,K1
1.1300724,100,KM
1.0936767,100,KM
1.36732,100,K1
1.4124323,100,K1
1.1350048,100,KM
1.1381445,100,KM
0.9656496,100,K1
1.4108251,100,K1
82.1494837,100,M1
1.1138738,100,KM
1.3535305,100,K1
1.1200754,100,KM
1.1267013,100,KM
1.6817174,100,K1
1.1546097,100,KM
1.1163454,100,KM
1.1534954,100,KM
1.1267477,100,KM
1.4420351,100,K1
1.1676664,100,KM
1.1925511,100,KM
5.1014492,100,WIN
5.1411464,100,WIN
5.1006071,100,WIN
5.1564658,100,WIN
5.1891841,100,WIN
5.0624859,100,WIN
5.0803936,100,WIN
5.1894101,100,WIN
5.1088223,100,WIN
5.2393291,100,WIN
5.2908362,100,WIN
5.1684154,100,WIN
5.1861593,100,WIN
5.2061527,100,WIN
5.3975471,100,WIN
5.2402121,100,WIN
5.2469234,100,WIN
5.391569,100,WIN
5.4305605,100,WIN
5.4081772,100,WIN
21.486347,100,PPI
21.5847159,100,PPI
21.724926,100,PPI
21.753454,100,PPI
21.4223938,100,PPI
21.8132023,100,PPI
21.5465637,100,PPI
22.0628941,100,PPI
21.5543371,100,PPI
22.0305129,100,PPI
21.6248387,100,PPI
21.8753981,100,PPI
22.0421847,100,PPI
21.6441764,100,PPI
21.3664404,100,PPI
21.5454406,100,PPI
21.7178439,100,PPI
21.804264,100,PPI
21.525638,100,PPI
21.1233278,100,PPI
